time(sec)	y1	y2
0.639	-3.610	-3.802
0.639	-3.631	-3.821
0.640	-3.652	-3.839
0.641	-3.672	-3.858
0.642	-3.693	-3.876
0.642	-3.713	-3.894
0.643	-3.733	-3.912
0.646	-3.753	-3.930
0.647	-3.773	-3.948
0.648	-3.792	-3.965
0.649	-3.812	-3.983
0.649	-3.831	-4.000
0.650	-3.850	-4.017
0.651	-3.869	-4.034
0.652	-3.888	-4.051
0.652	-3.907	-4.067
0.653	-3.926	-4.084
0.654	-3.944	-4.100
0.655	-3.962	-4.116
0.655	-3.981	-4.132
0.656	-3.999	-4.148
0.657	-4.016	-4.163
0.658	-4.034	-4.179
0.659	-4.051	-4.194
0.660	-4.069	-4.209
0.661	-4.086	-4.224
0.663	-4.103	-4.239
0.664	-4.120	-4.254
0.665	-4.137	-4.268
0.667	-4.153	-4.282
0.668	-4.170	-4.296
0.669	-4.186	-4.310
0.670	-4.202	-4.324
0.671	-4.218	-4.338
0.672	-4.234	-4.351
0.672	-4.249	-4.364
0.673	-4.265	-4.377
0.674	-4.280	-4.390
0.675	-4.295	-4.403
0.675	-4.310	-4.416
0.676	-4.325	-4.428
0.677	-4.339	-4.440
0.679	-4.354	-4.452
0.682	-4.368	-4.464
0.683	-4.382	-4.476
0.684	-4.396	-4.487
0.684	-4.410	-4.499
0.685	-4.424	-4.510
0.686	-4.437	-4.521
0.687	-4.450	-4.532
0.690	-4.463	-4.542
0.690	-4.476	-4.552
0.691	-4.489	-4.563
0.692	-4.501	-4.573
0.693	-4.514	-4.583
0.693	-4.526	-4.592
0.697	-4.538	-4.602
0.698	-4.550	-4.611
0.699	-4.561	-4.621
0.700	-4.573	-4.630
0.701	-4.584	-4.638
0.702	-4.595	-4.647
0.703	-4.606	-4.655
0.704	-4.617	-4.664
0.705	-4.628	-4.672
0.706	-4.638	-4.679
0.707	-4.648	-4.687
0.708	-4.658	-4.695
0.709	-4.668	-4.702
0.711	-4.678	-4.709
0.712	-4.687	-4.716
0.713	-4.697	-4.723
0.714	-4.706	-4.729
0.715	-4.715	-4.736
0.715	-4.724	-4.742
0.716	-4.732	-4.748
0.717	-4.741	-4.754
0.718	-4.749	-4.760
0.718	-4.757	-4.765
0.719	-4.765	-4.770
0.720	-4.772	-4.775
0.721	-4.780	-4.780
0.721	-4.787	-4.785
0.722	-4.794	-4.789
0.723	-4.801	-4.794
0.723	-4.808	-4.798
0.724	-4.814	-4.802
0.725	-4.821	-4.805
0.726	-4.827	-4.809
0.726	-4.833	-4.812
0.727	-4.839	-4.816
0.728	-4.845	-4.819
0.730	-4.850	-4.821
0.731	-4.855	-4.824
0.732	-4.860	-4.826
0.733	-4.865	-4.829
0.733	-4.870	-4.831
0.734	-4.874	-4.832
0.735	-4.879	-4.834
0.736	-4.883	-4.836
0.736	-4.886	-4.837
0.737	-4.890	-4.838
0.738	-4.894	-4.839
0.739	-4.897	-4.839
0.740	-4.900	-4.840
0.741	-4.903	-4.840
0.742	-4.906	-4.840
0.743	-4.909	-4.840
0.744	-4.911	-4.840
0.745	-4.913	-4.840
0.747	-4.915	-4.839
0.747	-4.917	-4.838
0.748	-4.919	-4.837
0.749	-4.920	-4.836
0.750	-4.921	-4.834
0.751	-4.922	-4.833
0.752	-4.923	-4.831
0.752	-4.924	-4.829
0.753	-4.924	-4.827
0.754	-4.925	-4.825
0.755	-4.925	-4.822
0.757	-4.925	-4.819
0.757	-4.924	-4.816
0.758	-4.924	-4.813
0.759	-4.923	-4.810
0.760	-4.922	-4.806
0.761	-4.921	-4.803
0.763	-4.920	-4.799
0.764	-4.919	-4.795
0.765	-4.917	-4.790
0.766	-4.915	-4.786
0.767	-4.913	-4.781
0.769	-4.911	-4.776
0.770	-4.909	-4.771
0.771	-4.906	-4.766
0.772	-4.903	-4.761
0.773	-4.900	-4.755
0.774	-4.897	-4.749
0.776	-4.894	-4.743
0.777	-4.890	-4.737
0.778	-4.886	-4.731
0.780	-4.883	-4.724
0.781	-4.879	-4.718
0.782	-4.874	-4.711
0.783	-4.870	-4.704
0.785	-4.865	-4.696
0.786	-4.860	-4.689
0.787	-4.855	-4.681
0.788	-4.850	-4.673
0.789	-4.845	-4.665
0.789	-4.839	-4.657
0.790	-4.833	-4.649
0.791	-4.827	-4.640
0.791	-4.821	-4.631
0.792	-4.814	-4.622
0.793	-4.808	-4.613
0.794	-4.801	-4.604
0.796	-4.794	-4.595
0.797	-4.787	-4.585
0.798	-4.780	-4.575
0.799	-4.772	-4.565
0.799	-4.765	-4.555
0.800	-4.757	-4.544
0.801	-4.749	-4.534
0.802	-4.741	-4.523
0.802	-4.732	-4.512
0.803	-4.724	-4.501
0.804	-4.715	-4.490
0.805	-4.706	-4.478
0.806	-4.697	-4.467
0.807	-4.687	-4.455
0.808	-4.678	-4.443
0.809	-4.668	-4.431
0.810	-4.658	-4.418
0.811	-4.648	-4.406
0.812	-4.638	-4.393
0.813	-4.628	-4.380
0.815	-4.617	-4.367
0.816	-4.606	-4.354
0.816	-4.595	-4.341
0.817	-4.584	-4.327
0.818	-4.573	-4.313
0.819	-4.561	-4.299
0.820	-4.550	-4.285
0.821	-4.538	-4.271
0.822	-4.526	-4.257
0.823	-4.514	-4.242
0.824	-4.501	-4.227
0.825	-4.489	-4.212
0.826	-4.476	-4.197
0.826	-4.463	-4.182
0.827	-4.450	-4.167
0.829	-4.437	-4.151
0.829	-4.424	-4.135
0.830	-4.410	-4.120
0.831	-4.396	-4.103
0.832	-4.382	-4.087
0.833	-4.368	-4.071
0.834	-4.354	-4.054
